Graph,N,M,K,Seed,Cut,Epsilon,Imbalance,Time,NumNodes,NumMPIsPerNode,NumThreadsPerMPI,Cores,Timeout,Failed
144,144649,2148786,16,1,40494,0.03,0.0299746,0.213,1,1,32,32,0,0
144,144649,2148786,2,1,6656,0.03,0.0178638,0.104,1,1,32,32,0,0
144,144649,2148786,32,1,61570,0.03,0.0298607,0.293,1,1,32,32,0,0
144,144649,2148786,4,1,16586,0.03,0.0167851,0.109,1,1,32,32,0,0
144,144649,2148786,64,1,84379,0.03,0.0296329,0.386,1,1,32,32,0,0
144,144649,2148786,8,1,26908,0.03,0.0299746,0.164,1,1,32,32,0,0
3elt,4720,27444,16,1,606,0.03,0.0237288,0.111,1,1,32,32,0,0
3elt,4720,27444,2,1,90,0.03,0.00635593,0.074,1,1,32,32,0,0
3elt,4720,27444,32,1,1069,0.03,0.027027,0.096,1,1,32,32,0,0
3elt,4720,27444,4,1,210,0.03,0.00338983,0.09,1,1,32,32,0,0
3elt,4720,27444,64,1,1644,0.03,0.027027,0.098,1,1,32,32,0,0
3elt,4720,27444,8,1,384,0.03,0.0118644,0.099,1,1,32,32,0,0
4elt,15606,91756,16,1,1061,0.03,0.0184426,0.105,1,1,32,32,0,0
4elt,15606,91756,2,1,142,0.03,0.0146098,0.074,1,1,32,32,0,0
4elt,15606,91756,32,1,1660,0.03,0.0307377,0.096,1,1,32,32,0,0
4elt,15606,91756,4,1,339,0.03,0.00153767,0.086,1,1,32,32,0,0
4elt,15606,91756,64,1,2766,0.03,0.0286885,0.107,1,1,32,32,0,0
4elt,15606,91756,8,1,569,0.03,0.0102512,0.083,1,1,32,32,0,0
598a,110971,1483868,16,1,28381,0.03,0.0299885,0.174,1,1,32,32,0,0
598a,110971,1483868,2,1,2431,0.03,0.0129582,0.089,1,1,32,32,0,0
598a,110971,1483868,32,1,42307,0.03,0.0299885,0.208,1,1,32,32,0,0
598a,110971,1483868,4,1,8166,0.03,0.0132646,0.103,1,1,32,32,0,0
598a,110971,1483868,64,1,60680,0.03,0.0299885,0.285,1,1,32,32,0,0
598a,110971,1483868,8,1,16517,0.03,0.0299885,0.147,1,1,32,32,0,0
add20,2395,14924,16,1,2369,0.03,0.0333333,0.048,1,1,32,32,0,0
add20,2395,14924,2,1,648,0.03,0.0292154,0.026,1,1,32,32,0,0
add20,2395,14924,32,1,2734,0.03,0.0266667,0.049,1,1,32,32,0,0
add20,2395,14924,4,1,1194,0.03,0.0283806,0.036,1,1,32,32,0,0
add20,2395,14924,64,1,3216,0.03,0.0263158,0.052,1,1,32,32,0,0
add20,2395,14924,8,1,1846,0.03,0.03,0.043,1,1,32,32,0,0
add32,4960,18924,16,1,125,0.03,0.00322581,0.081,1,1,32,32,0,0
add32,4960,18924,2,1,10,0.03,0.000403226,0.069,1,1,32,32,0,0
add32,4960,18924,32,1,234,0.03,0.0258065,0.091,1,1,32,32,0,0
add32,4960,18924,4,1,33,0.03,0.000806452,0.094,1,1,32,32,0,0
add32,4960,18924,64,1,500,0.03,0.025641,0.097,1,1,32,32,0,0
add32,4960,18924,8,1,77,0.03,0.0016129,0.096,1,1,32,32,0,0
auto,448695,6629222,16,1,82576,0.03,0.0299886,0.331,1,1,32,32,0,0
auto,448695,6629222,2,1,10085,0.03,0.0295033,0.133,1,1,32,32,0,0
auto,448695,6629222,32,1,128602,0.03,0.0299529,0.559,1,1,32,32,0,0
auto,448695,6629222,4,1,28300,0.03,0.029998,0.157,1,1,32,32,0,0
auto,448695,6629222,64,1,182204,0.03,0.0299529,0.746,1,1,32,32,0,0
auto,448695,6629222,8,1,47757,0.03,0.0225008,0.196,1,1,32,32,0,0
bcsstk29,13992,605496,16,1,25606,0.03,0.0297143,0.113,1,1,32,32,0,0
