Graph,N,M,K,Seed,Cut,Epsilon,Imbalance,Time,NumNodes,NumMPIsPerNode,NumThreadsPerMPI,Cores,Timeout,Failed
144,144649,2148786,16,1,45317,0.03,0.0286473,0.091,1,1,32,32,0,0
144,144649,2148786,2,1,7378,0.03,0.0210024,0.109,1,1,32,32,0,0
144,144649,2148786,32,1,64076,0.03,0.0296395,0.12,1,1,32,32,0,0
144,144649,2148786,4,1,17502,0.03,0.0133009,0.075,1,1,32,32,0,0
144,144649,2148786,64,1,87717,0.03,0.0283061,0.123,1,1,32,32,0,0
144,144649,2148786,8,1,29798,0.03,0.0128304,0.088,1,1,32,32,0,0
3elt,4720,27444,16,1,611,0.03,0.0169492,0.073,1,1,32,32,0,0
3elt,4720,27444,2,1,92,0.03,0.000423729,0.06,1,1,32,32,0,0
3elt,4720,27444,32,1,1102,0.03,0.0135135,0.078,1,1,32,32,0,0
3elt,4720,27444,4,1,211,0.03,0.0161017,0.064,1,1,32,32,0,0
3elt,4720,27444,64,1,1716,0.03,0.027027,0.062,1,1,32,32,0,0
3elt,4720,27444,8,1,372,0.03,0.0101695,0.064,1,1,32,32,0,0
4elt,15606,91756,16,1,1067,0.03,0.00512295,0.061,1,1,32,32,0,0
4elt,15606,91756,2,1,142,0.03,0.0215302,0.054,1,1,32,32,0,0
4elt,15606,91756,32,1,1758,0.03,0.00819672,0.064,1,1,32,32,0,0
4elt,15606,91756,4,1,350,0.03,0.00896976,0.051,1,1,32,32,0,0
4elt,15606,91756,64,1,2970,0.03,0.0163934,0.064,1,1,32,32,0,0
4elt,15606,91756,8,1,599,0.03,0.00563813,0.056,1,1,32,32,0,0
598a,110971,1483868,16,1,31284,0.03,0.0177336,0.068,1,1,32,32,0,0
598a,110971,1483868,2,1,2482,0.03,0.0253577,0.041,1,1,32,32,0,0
598a,110971,1483868,32,1,44280,0.03,0.0178777,0.083,1,1,32,32,0,0
598a,110971,1483868,4,1,8686,0.03,0.0201492,0.058,1,1,32,32,0,0
598a,110971,1483868,64,1,63296,0.03,0.017301,0.093,1,1,32,32,0,0
598a,110971,1483868,8,1,18162,0.03,0.0249423,0.061,1,1,32,32,0,0
add20,2395,14924,16,1,2224,0.03,0.0266667,0.028,1,1,32,32,0,0
add20,2395,14924,2,1,648,0.03,0.0292154,0.019,1,1,32,32,0,0
add20,2395,14924,32,1,2639,0.03,0.0266667,0.033,1,1,32,32,0,0
add20,2395,14924,4,1,1190,0.03,0.0267112,0.023,1,1,32,32,0,0
add20,2395,14924,64,1,3117,0.03,0.0263158,0.036,1,1,32,32,0,0
add20,2395,14924,8,1,1761,0.03,0.03,0.024,1,1,32,32,0,0
add32,4960,18924,16,1,132,0.03,0.0258065,0.063,1,1,32,32,0,0
add32,4960,18924,2,1,10,0.03,0.000403226,0.04,1,1,32,32,0,0
add32,4960,18924,32,1,223,0.03,0.0193548,0.075,1,1,32,32,0,0
add32,4960,18924,4,1,33,0.03,0.000806452,0.053,1,1,32,32,0,0
add32,4960,18924,64,1,528,0.03,0.025641,0.071,1,1,32,32,0,0
add32,4960,18924,8,1,73,0.03,0.0016129,0.067,1,1,32,32,0,0
auto,448695,6629222,16,1,89593,0.03,0.0251391,0.118,1,1,32,32,0,0
auto,448695,6629222,2,1,10766,0.03,0.0203434,0.101,1,1,32,32,0,0
auto,448695,6629222,32,1,140887,0.03,0.0158323,0.124,1,1,32,32,0,0
auto,448695,6629222,4,1,29390,0.03,0.0287767,0.105,1,1,32,32,0,0
auto,448695,6629222,64,1,199484,0.03,0.0188276,0.133,1,1,32,32,0,0
auto,448695,6629222,8,1,51465,0.03,0.0171698,0.106,1,1,32,32,0,0
bcsstk29,13992,605496,16,1,26846,0.03,0.0285714,0.075,1,1,32,32,0,0
bcsstk29,13992,605496,2,1,3325,0.03,0.016295,0.046,1,1,32,32,0,0
bcsstk29,13992,605496,32,1,39342,0.03,0.0296804,0.09,1,1,32,32,0,0
bcsstk29,13992,605496,4,1,8274,0.03,0.0274443,0.067,1,1,32,32,0,0
bcsstk29,13992,605496,64,1,60010,0.03,0.0273973,0.092,1,1,32,32,0,0
bcsstk29,13992,605496,8,1,16995,0.03,0.0291595,0.07,1,1,32,32,0,0
bcsstk30,28924,2014568,16,1,81373,0.03,0.0298673,0.087,1,1,32,32,0,0
bcsstk30,28924,2014568,2,1,6818,0.03,0.0221961,0.038,1,1,32,32,0,0
bcsstk30,28924,2014568,32,1,124699,0.03,0.0298673,0.107,1,1,32,32,0,0
bcsstk30,28924,2014568,4,1,17171,0.03,0.0114784,0.063,1,1,32,32,0,0
bcsstk30,28924,2014568,64,1,187833,0.03,0.0287611,0.103,1,1,32,32,0,0
bcsstk30,28924,2014568,8,1,37968,0.03,0.0298673,0.074,1,1,32,32,0,0
bcsstk31,35588,1145828,16,1,27597,0.03,0.0292135,0.084,1,1,32,32,0,0
bcsstk31,35588,1145828,2,1,2997,0.03,0.0197819,0.036,1,1,32,32,0,0
bcsstk31,35588,1145828,32,1,40804,0.03,0.0296496,0.105,1,1,32,32,0,0
bcsstk31,35588,1145828,4,1,8118,0.03,0.0159604,0.064,1,1,32,32,0,0
