Graph,N,M,HierarchyLevels,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,Mtot,K,Seed,Cut,Epsilon,Imbalance,Time,TimeCoarsening,TimeSparsification,TimeInitialPartitioning,TimeUncoarsening,TimeRefinement,TimeRemaining,Cores,Timeout,Failed
ba_2_22_s0_md_2,4194304,16777058,13,11662442,2295550,1549504,287400,242322,230252,228054,227878,227848,227830,34639550,16,1,3555176,0.030000,0.000008,0.428000,0.210000,0.004000,0.022000,0.014000,0.150000,0.028000,32,0,0
ba_2_22_s0_md_2,4194304,16777058,15,11665994,2290512,1540688,285524,226740,175814,141624,131384,128928,127146,34127118,3,1,2210537,0.030000,0.000001,0.522000,0.228000,0.004000,0.012000,0.011000,0.229000,0.038000,32,0,0
ba_2_22_s0_md_2,4194304,16777058,12,11667388,2290814,1546518,286348,245318,237380,236536,236360,236264,236194,34468452,37,1,3842828,0.030000,0.000009,0.433000,0.207000,0.004000,0.041000,0.016000,0.140000,0.025000,32,0,0
ba_2_22_s0_md_2,4194304,16777058,11,11659848,2298782,1558134,293524,257078,251578,250906,250620,250442,250362,34348624,64,1,3964665,0.030000,0.000031,0.447000,0.215000,0.004000,0.049000,0.018000,0.134000,0.027000,32,0,0
ba_2_22_s0_md_2,4194304,16777058,14,11668546,2306366,1550016,287622,238174,215958,208286,206872,206830,206824,34699818,7,1,3072465,0.030000,0.000003,0.457000,0.212000,0.004000,0.016000,0.012000,0.184000,0.029000,32,0,0
ba_2_22_s0_md_2,4194304,16777058,14,11666874,2288790,1540834,287872,239878,220344,214408,213304,213208,213198,34728560,8,1,3171271,0.030000,0.000004,0.464000,0.221000,0.004000,0.019000,0.013000,0.179000,0.028000,32,0,0
ba_2_22_s0_md_2,4194304,16777058,13,11667924,2302602,1554726,289690,244782,232818,230674,230498,230474,230454,34683026,16,2,3554904,0.030000,0.000008,0.442000,0.220000,0.004000,0.023000,0.013000,0.154000,0.028000,32,0,0
ba_2_22_s0_md_2,4194304,16777058,15,11657408,2289734,1539050,283612,223366,175126,138568,130834,128510,127972,34111072,3,2,2210586,0.030000,0.000000,0.496000,0.221000,0.004000,0.009000,0.016000,0.223000,0.023000,32,0,0
ba_2_22_s0_md_2,4194304,16777058,12,11670410,2300920,1553114,289164,248292,240584,239778,239606,239510,239440,34516646,37,2,3843697,0.030000,0.000009,0.452000,0.214000,0.004000,0.043000,0.022000,0.143000,0.026000,32,0,0
ba_2_22_s0_md_2,4194304,16777058,11,11661460,2289896,1552814,293426,257750,252204,251514,251254,251090,251020,34340430,64,2,3965427,0.030000,0.000031,0.445000,0.212000,0.004000,0.049000,0.016000,0.133000,0.031000,32,0,0
ba_2_22_s0_md_2,4194304,16777058,14,11656264,2300300,1549896,287176,238648,216250,208324,206720,206658,206654,34680518,7,2,3070917,0.030000,0.000002,0.456000,0.210000,0.004000,0.019000,0.014000,0.186000,0.023000,32,0,0
