Graph,K,Seed,Cut,Epsilon,Imbalance,Time,MaxRSS,Cores,Failed
"af_shell10",1000,1,1764765,0.03,0.042,0.654,1275504,96,0
"af_shell10",128,1,623707,0.03,0.031,0.388,1146828,96,0
"af_shell10",30000,1,9353917,0.03,3.595,10.06,3802824,96,0
"af_shell10",37,1,311500,0.03,0.023,0.668,1144784,96,0
"af_shell10",64,1,421900,0.03,0.03,0.382,1146264,96,0
"af_shell10",8,1,115350,0.03,0.002,0.32,1157500,96,0
"af_shell10",91,1,513693,0.03,0.03,0.555,1146740,96,0
"af_shell10",1000,2,1772411,0.03,0.042,0.69,1270816,96,0
"af_shell10",128,2,617390,0.03,0.032,0.742,1149892,96,0
"af_shell10",30000,2,9357300,0.03,3.675,9.629,3816912,96,0
"af_shell10",37,2,312325,0.03,0.025,0.55,1145396,96,0
"af_shell10",64,2,423734,0.03,0.03,0.767,1149548,96,0
"af_shell10",8,2,115925,0.03,0.003,0.344,1157012,96,0
"af_shell10",91,2,515314,0.03,0.03,0.518,1149876,96,0
"af_shell10",1000,3,1772068,0.03,0.04,0.655,1263568,96,0
"af_shell10",128,3,615132,0.03,0.031,0.591,1146896,96,0
"af_shell10",30000,3,9349622,0.03,3.695,9.757,3651536,96,0
"af_shell10",37,3,312100,0.03,0.019,0.739,1145276,96,0
"af_shell10",64,3,419675,0.03,0.027,0.73,1146420,96,0
"af_shell10",8,3,115650,0.03,0.004,0.471,1157560,96,0
"af_shell10",91,3,518310,0.03,0.03,0.419,1144724,96,0
"af_shell10",1000,4,1767217,0.03,0.041,0.519,1242068,96,0
"af_shell10",128,4,620952,0.03,0.03,0.996,1145280,96,0
"af_shell10",30000,4,9356133,0.03,3.575,9.909,3795904,96,0
"af_shell10",37,4,313236,0.03,0.031,0.495,1144784,96,0
"af_shell10",64,4,420402,0.03,0.032,0.93,1145300,96,0
"af_shell10",8,4,116175,0.03,0.004,0.459,1158604,96,0
"af_shell10",91,4,517411,0.03,0.03,0.93,1149708,96,0
"af_shell10",1000,5,1775710,0.03,0.042,0.874,1261724,96,0
